COD_LOC;NOMBRE_LOC;CP;POBLACION;OFICINA;PROVINCIA;COD_PROY;ID_EVALUACION;Fecha de ejecucion;COD_AUDITOR;RESULTADO;TITULO_CUESTIONARIO
112;STAND -  CARREFOUR COLL EN RABASSA;7000;COLL DE RABASSA;901;BALEARES;0457_004;1964429;11/03/2014;A33663;1;CONSUMO IMAGEN CARREFOUR - P6 (13.14)
112;STAND -  CARREFOUR COLL EN RABASSA;7000;COLL DE RABASSA;901;BALEARES;0457_004;1964430;11/03/2014;A33663;1;CONSUMO PROCESOS - P6 (13.14)
52;STAND -  CARREFOUR TARRAGONA;43000;TARRAGONA;901;TARRAGONA;0457_004;1964431;06/03/2014;A29667;0,98;RESUMEN CONSUMO PEC P6 (13.14)
52;STAND -  CARREFOUR TARRAGONA;43000;TARRAGONA;901;TARRAGONA;0457_004;1964432;06/03/2014;A29667;1;CONSUMO IMAGEN CARREFOUR - P6 (13.14)
52;STAND -  CARREFOUR TARRAGONA;43000;TARRAGONA;901;TARRAGONA;0457_004;1964433;06/03/2014;A29667;1;CONSUMO PROCESOS - P6 (13.14)
56;STAND -  CARREFOUR REUS;43000;REUS;901;TARRAGONA;0457_004;1964434;10/03/2014;A29667;0,96;RESUMEN CONSUMO PEC P6 (13.14)
56;STAND -  CARREFOUR REUS;43000;REUS;901;TARRAGONA;0457_004;1964435;10/03/2014;A29667;1;CONSUMO IMAGEN CARREFOUR - P6 (13.14)
56;STAND -  CARREFOUR REUS;43000;REUS;901;TARRAGONA;0457_004;1964436;10/03/2014;A29667;0,8333;CONSUMO PROCESOS - P6 (13.14)
1422;COMUNICACIONES MOVILES DE MALL;7002;PALMA DE MALLORCA;901;BALEARES;0457_003;1964440;11/03/2014;A33663;0,9042;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
1422;COMUNICACIONES MOVILES DE MALL;7002;PALMA DE MALLORCA;901;BALEARES;0457_003;1964441;11/03/2014;A33663;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
1422;COMUNICACIONES MOVILES DE MALL;7002;PALMA DE MALLORCA;901;BALEARES;0457_003;1964442;11/03/2014;A33663;1;ESPECIALISTAS PROCESOS - P6 (13.14)
36;COMUNICACIONES MOVILES DE MALL;7007;PALMA DE MALLORCA;901;BALEARES;0457_003;1964443;19/03/2014;A29667;0,8957;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
36;COMUNICACIONES MOVILES DE MALL;7007;PALMA DE MALLORCA;901;BALEARES;0457_003;1964444;19/03/2014;A29667;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
36;COMUNICACIONES MOVILES DE MALL;7007;PALMA DE MALLORCA;901;BALEARES;0457_003;1964445;19/03/2014;A29667;0,9925;ESPECIALISTAS PROCESOS - P6 (13.14)
242;AIR MOVIL BALEAR, S.L;7010;PALMA DE MALLORCA;901;BALEARES;0457_003;1964446;19/03/2014;A29667;0,9942;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
242;AIR MOVIL BALEAR, S.L;7010;PALMA DE MALLORCA;901;BALEARES;0457_003;1964447;19/03/2014;A29667;0,9419;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
242;AIR MOVIL BALEAR, S.L;7010;PALMA DE MALLORCA;901;BALEARES;0457_003;1964448;19/03/2014;A29667;1;ESPECIALISTAS PROCESOS - P6 (13.14)
696;COMUNICACIONES MOVILES DE MALL;7500;PALMA DE MALLORCA;901;BALEARES;0457_003;1964449;20/03/2014;A29667;0,8937;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
696;COMUNICACIONES MOVILES DE MALL;7500;PALMA DE MALLORCA;901;BALEARES;0457_003;1964450;20/03/2014;A29667;0,9071;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
696;COMUNICACIONES MOVILES DE MALL;7500;PALMA DE MALLORCA;901;BALEARES;0457_003;1964451;20/03/2014;A29667;0,97;ESPECIALISTAS PROCESOS - P6 (13.14)
